proteinA,proteinB
id_4689,id_5401
id_4701,id_5870
id_2113,id_3007
id_2113,id_3123
id_2131,id_3279
id_2143,id_3280
id_2170,id_3123
id_2170,id_3007
id_4717,id_5914
id_4720,id_5292
id_4522,id_6259
id_4522,id_6275
id_4819,id_5413
id_2083,id_3355
id_2110,id_3279
id_4840,id_5649
id_1769,id_6417
id_1765,id_6651
id_1764,id_6579
id_1764,id_6025
id_4928,id_5840
id_4928,id_5857
id_2023,id_3362
id_2054,id_3316
id_2056,id_3123
id_2056,id_3007
id_60,id_421
id_4974,id_5524
id_4992,id_5267
id_1984,id_3353
id_3236,id_5236
id_1998,id_3106
id_2006,id_3362
id_2006,id_3597
id_5013,id_5390
id_1950,id_3196
id_1953,id_3584
id_5113,id_5914
id_5134,id_5649
id_1753,id_6574
id_5166,id_5891
id_1753,id_6135
id_5202,id_5267
id_1749,id_6526
id_5248,id_5974
id_5248,id_5871
id_5248,id_5971
id_5253,id_5726
id_5256,id_5267
id_5290,id_5488
id_3279,id_5113
id_1894,id_3691
id_5290,id_5871
id_6135,id_6574
id_6112,id_6673
id_6112,id_6582
id_6112,id_6478
id_6111,id_6478
id_6111,id_6112
id_5372,id_5747
id_5372,id_5719
id_1861,id_3279
id_3284,id_4741
id_1872,id_3316
id_3280,id_4928
id_3280,id_4638
id_5433,id_5981
id_5433,id_5668
id_5488,id_5871
id_5488,id_5971
id_5571,id_5974
id_5571,id_5908
id_5590,id_5747
id_5668,id_5981
id_5688,id_5924
id_5688,id_5753
id_5722,id_5878
id_5719,id_5747
id_5821,id_5887
id_5840,id_5857
id_5871,id_5988
id_5871,id_5971
id_5908,id_5974
id_5971,id_5974
id_5974,id_5988
id_1764,id_3123
id_1769,id_3522
id_3745,id_6578
id_1753,id_3279
id_3301,id_4663
id_1764,id_3007
id_1710,id_6522
id_1708,id_6034
id_1708,id_6506
id_1687,id_3480
id_1721,id_3656
id_1749,id_3114
id_1749,id_3366
id_3698,id_6251
id_4,id_27
id_4,id_25
id_14,id_1677
id_14,id_1630
id_1650,id_3465
id_1662,id_3001
id_1677,id_3452
id_30,id_1591
id_3652,id_6517
id_77,id_498
id_115,id_1566
id_115,id_469
id_3638,id_6251
id_3638,id_6455
id_1585,id_3351
id_1630,id_3452
id_3348,id_4549
id_1649,id_3280
id_3628,id_6413
id_3618,id_6174
id_174,id_1687
id_1687,id_6489
id_177,id_1919
id_1544,id_3348
id_1680,id_6034
id_1679,id_6077
id_1679,id_6612
id_3608,id_6578
id_195,id_1753
id_195,id_2110
id_195,id_1861
id_199,id_1677
id_199,id_1630
id_3579,id_6478
id_256,id_2086
id_266,id_2223
id_1677,id_6677
id_3559,id_6344
id_334,id_1951
id_334,id_1570
id_3522,id_6417
id_362,id_1524
id_3521,id_6344
id_364,id_2235
id_3390,id_4867
id_1522,id_3007
id_372,id_1953
id_387,id_1749
id_212,id_926
id_399,id_2189
id_418,id_1708
id_423,id_2248
id_428,id_1595
id_447,id_2193
id_1630,id_6677
id_496,id_2235
id_3462,id_6188
id_3462,id_6054
id_521,id_1959
id_3452,id_6677
id_558,id_1569
id_3433,id_6478
id_3425,id_6673
id_594,id_2033
id_625,id_1797
id_702,id_1710
id_743,id_1544
id_740,id_2097
id_3406,id_5192
id_750,id_2180
id_3390,id_6301
id_3366,id_6526
id_3351,id_6489
id_3348,id_6077
id_12,id_3638
id_14,id_3452
id_1585,id_6489
id_3300,id_6374
id_116,id_3459
id_3279,id_6135
id_3279,id_6574
id_165,id_3301
id_174,id_3562
id_177,id_3538
id_187,id_3730
id_187,id_3236
id_3238,id_6413
id_195,id_3279
id_199,id_3452
id_3237,id_6392
id_242,id_3705
id_1555,id_6495
id_258,id_3698
id_258,id_3638
id_318,id_3698
id_318,id_3638
id_3196,id_6297
id_372,id_3584
id_3191,id_6344
id_387,id_3114
id_387,id_3366
id_594,id_6054
id_594,id_6188
id_593,id_6374
id_618,id_6238
id_447,id_3062
id_3159,id_6397
id_3159,id_6667
id_502,id_3480
id_538,id_3695
id_538,id_3107
id_3480,id_4689
id_583,id_6661
id_594,id_3462
id_3123,id_6025
id_3123,id_6023
id_3123,id_6579
id_654,id_3603
id_3114,id_6526
id_743,id_3348
id_496,id_6436
id_502,id_6489
id_511,id_6190
id_517,id_6325
id_3076,id_6382
id_177,id_1470
id_3062,id_6673
id_453,id_6592
id_465,id_6267
id_465,id_6018
id_469,id_6314
id_1538,id_6215
id_25,id_5182
id_27,id_4533
id_3538,id_4582
id_439,id_6185
id_447,id_6673
id_447,id_6478
id_447,id_6582
id_447,id_6112
id_3007,id_6025
id_3007,id_6579
id_3007,id_6023
id_3002,id_6301
id_1524,id_6134
id_399,id_6021
id_399,id_6220
id_418,id_6506
id_418,id_6034
id_418,id_6102
id_1522,id_6025
id_1522,id_6579
id_167,id_962
id_3582,id_5134
id_364,id_6436
id_383,id_6295
id_387,id_6526
id_165,id_4663
id_176,id_5062
id_177,id_4582
id_187,id_5236
id_195,id_4717
id_195,id_5113
id_334,id_6664
id_362,id_6134
id_1511,id_6392
id_342,id_4689
id_360,id_4751
id_362,id_5108
id_362,id_4925
id_364,id_5026
id_2110,id_6574
id_258,id_6251
id_318,id_6455
id_399,id_5012
id_2110,id_6135
id_418,id_4592
id_418,id_4826
id_242,id_6013
id_3618,id_4560
id_252,id_6651
id_491,id_4731
id_496,id_5026
id_501,id_4648
id_517,id_4941
id_538,id_4508
id_558,id_4701
id_619,id_4883
id_624,id_4851
id_195,id_6135
id_195,id_6574
id_199,id_6677
id_743,id_4549
id_176,id_6060
id_3683,id_4850
id_2111,id_6182
id_3730,id_5236
id_61,id_6412
id_3695,id_4508
id_115,id_6314
id_2113,id_6579
id_2113,id_6023
id_2113,id_6025
id_387,id_1232
id_393,id_1331
id_399,id_1225
id_2235,id_5026
id_2215,id_2223
id_6251,id_6455
id_400,id_767
id_439,id_1103
id_3705,id_6013
id_6417,id_6512
id_6389,id_6560
id_3339,id_4818
id_2056,id_2170
id_489,id_557
id_6077,id_6619
id_2113,id_2170
id_2113,id_4564
id_3694,id_4666
id_68,id_6413
id_3726,id_4850
id_1708,id_6102
id_18,id_318
id_18,id_258
id_1680,id_1708
id_2097,id_4865
id_2097,id_4757
id_6102,id_6506
id_6088,id_6565
id_76,id_453
id_3640,id_6142
id_64,id_1511
id_6054,id_6504
id_1714,id_6173
id_1773,id_3106
id_1773,id_1998
id_1630,id_1677
id_1585,id_1687
id_1580,id_3306
id_3630,id_6185
id_4820,id_5084
id_12,id_6251
id_12,id_6455
id_6034,id_6506
id_6034,id_6414
id_6023,id_6135
id_1799,id_3684
id_4634,id_4724
id_5908,id_5988
id_177,id_1570
id_177,id_1879
id_1680,id_6102
id_174,id_1585
id_5712,id_5934
id_5608,id_5914
id_174,id_6489
id_172,id_6131
id_588,id_1149
id_555,id_1098
id_555,id_1423
id_1680,id_6506
id_1573,id_1771
id_1570,id_1951
id_740,id_1384
id_2054,id_4732
id_4771,id_5026
id_5571,id_5988
id_5524,id_5525
id_5496,id_5712
id_5449,id_5524
id_1861,id_2131
id_242,id_803
id_242,id_1183
id_3579,id_6673
id_3579,id_6582
id_3579,id_6112
id_3579,id_6111
id_2020,id_5017
id_5248,id_6111
id_802,id_949
id_743,id_1492
id_3582,id_6357
id_3238,id_3628
id_1901,id_3701
id_3245,id_5237
id_1522,id_3123
id_1522,id_2170
id_3562,id_6489
id_3562,id_6645
id_286,id_287
id_886,id_1316
id_4643,id_4891
id_2021,id_4710
id_1885,id_3411
id_3279,id_4717
id_1879,id_3538
id_1879,id_3405
id_1879,id_1919
id_5248,id_5988
id_362,id_1769
id_3522,id_6512
id_3522,id_6134
id_671,id_4819
id_1919,id_4582
id_952,id_1107
id_947,id_1314
id_740,id_4757
id_740,id_4865
id_3477,id_3640
id_383,id_419
id_377,id_1673
id_1511,id_3566
id_1502,id_1569
id_5113,id_5608
id_439,id_1799
id_418,id_1680
id_3480,id_6645
id_5082,id_5275
id_1013,id_1263
id_2131,id_6023
id_2131,id_6135
id_2131,id_6574
id_5030,id_5275
id_5026,id_5725
id_469,id_563
id_3237,id_5030
id_4992,id_5797
id_4986,id_5860
id_502,id_1585
id_502,id_1687
id_496,id_2189
id_489,id_1765
id_1243,id_1423
id_1173,id_1322
id_1103,id_1243
id_1103,id_1423
id_5191,id_6390
id_3640,id_4891
id_557,id_1765
id_555,id_1799
id_3462,id_6504
id_2063,id_3007
id_2054,id_3317
id_648,id_4912
id_2033,id_3462
id_588,id_1761
id_3428,id_6236
id_3433,id_6582
id_1764,id_6023
id_4892,id_5640
id_4891,id_5318
id_4891,id_5610
id_1769,id_6512
id_4820,id_5647
id_2006,id_6008
id_1522,id_2804
id_1919,id_5060
id_25,id_864
id_557,id_4887
id_2097,id_3177
id_2095,id_3705
id_3405,id_4582
id_1773,id_6392
id_1566,id_2914
id_496,id_4771
id_489,id_4887
id_4717,id_5608
id_4686,id_5276
id_4533,id_6677
id_258,id_6455
id_4670,id_5275
id_2193,id_3062
id_2193,id_3425
id_3195,id_3286
id_4549,id_6612
id_5111,id_6259
id_5111,id_6275
id_453,id_4988
id_447,id_5248
id_3351,id_6608
id_80,id_1382
id_4628,id_5908
id_4560,id_6238
id_2247,id_3420
id_2247,id_3640
id_2247,id_3476
id_3323,id_6647
id_1841,id_4718
id_5082,id_6088
id_318,id_6251
id_12,id_3698
id_4508,id_5523
id_4402,id_4428
id_3076,id_3450
id_1585,id_6608
id_18,id_3698
id_1861,id_5113
id_1859,id_5134
id_391,id_4912
id_3056,id_3144
id_4592,id_6414
id_4069,id_4288
id_65,id_3243
id_5030,id_6565
id_1753,id_2665
id_1708,id_2803
id_1570,id_6664
id_115,id_3701
id_3959,id_4018
id_3956,id_4302
id_3928,id_4133
id_3928,id_4492
id_3893,id_4126
id_3869,id_4402
id_3869,id_4251
id_3165,id_4818
id_334,id_6668
id_1799,id_2253
id_1511,id_6572
id_238,id_5088
id_3165,id_3317
id_3165,id_3339
id_3107,id_3695
id_174,id_3480
id_158,id_3658
id_3705,id_4204
id_2170,id_6025
id_2170,id_6023
id_1861,id_2665
id_5002,id_6572
id_362,id_6417
id_342,id_6645
id_334,id_6554
id_174,id_3351
id_3579,id_5248
id_4974,id_6185
id_1769,id_5108
id_3007,id_5113
id_3640,id_4391
id_3640,id_4288
id_3608,id_3922
id_1566,id_6314
id_3566,id_4219
id_702,id_6522
id_3465,id_4321
id_1998,id_2472
id_1951,id_2489
id_1951,id_2472
id_1953,id_6373
id_3566,id_5002
id_3569,id_4827
id_3465,id_4720
id_362,id_3522
id_342,id_3480
id_419,id_6295
id_2033,id_2742
id_2006,id_2393
id_3581,id_4508
id_402,id_3568
id_391,id_3056
id_1873,id_6383
id_4717,id_6574
id_447,id_3579
id_439,id_3630
id_1765,id_4887
id_1522,id_6023
id_483,id_3566
id_469,id_3701
id_4731,id_6488
id_1542,id_4891
id_1529,id_4604
id_3106,id_4666
id_538,id_3581
id_2189,id_2894
id_2180,id_2594
id_2189,id_6436
id_2110,id_2665
id_69,id_5052
id_502,id_3351
id_555,id_3630
id_555,id_3140
id_594,id_6504
id_555,id_6185
id_4891,id_6058
id_2235,id_2894
id_1704,id_5007
id_64,id_5002
id_447,id_6111
id_555,id_3684
id_3106,id_4402
id_4803,id_6054
id_3046,id_4357
id_1544,id_4718
id_27,id_5048
id_27,id_5182
id_25,id_4533
id_12,id_4705
id_4891,id_6142
id_3106,id_6668
id_740,id_3177
id_716,id_3640
id_3490,id_4670
id_491,id_6488
id_2367,id_2967
id_2193,id_6673
id_2316,id_2834
id_2253,id_2716
id_2247,id_2730
id_4,id_4533
id_453,id_6591
id_453,id_6438
id_3516,id_4549
id_4826,id_6506
id_4826,id_6414
id_2423,id_2848
id_2411,id_2803
id_2393,id_2894
id_2372,id_2676
id_1581,id_4661
id_2561,id_2856
id_1677,id_4533
id_439,id_1243
id_407,id_1316
id_3698,id_6455
id_1687,id_3351
id_384,id_1480
id_80,id_6578
id_2063,id_6025
id_502,id_1070
id_3698,id_4705
id_65,id_169
id_65,id_562
id_65,id_461
id_6254,id_6619
id_1764,id_2063
id_1753,id_2056
id_3259,id_3705
id_3196,id_3712
id_2593,id_2774
id_2488,id_2948
id_2472,id_2965
id_3063,id_3561
id_3291,id_3307
id_4757,id_4865
id_483,id_6572
id_1544,id_1841
id_2626,id_2716
id_1677,id_5182
id_174,id_1070
id_3476,id_3640
id_3348,id_3516
id_177,id_761
id_3336,id_4840
id_6188,id_6504
id_14,id_25
id_14,id_199
id_14,id_6677
id_2063,id_2170
id_6111,id_6673
id_1700,id_6415
id_3640,id_6058
id_55,id_2234
id_1773,id_3237
id_3477,id_4891
id_3497,id_4794
id_2311,id_2593
id_11,id_12
id_4,id_5048
id_4820,id_6485
id_4820,id_5130
id_3140,id_3617
id_3081,id_6543
id_743,id_3390
id_743,id_3002
id_1894,id_6485
id_1895,id_6077
id_3002,id_4318
id_3002,id_4232
id_3002,id_4041
id_3002,id_3516
id_3002,id_4307
id_150,id_287
id_149,id_286
id_150,id_286
id_5084,id_5245
id_538,id_826
id_3538,id_5060
id_2247,id_2625
id_4891,id_6254
id_682,id_3592
id_743,id_3516
id_3640,id_6254
id_1823,id_3081
id_3348,id_4867
id_5971,id_5988
id_5808,id_5902
id_1544,id_3002
id_1861,id_3007
id_593,id_3300
id_562,id_3243
id_3076,id_3862
id_4803,id_6188
id_1570,id_1679
id_1545,id_4891
id_364,id_1211
id_551,id_857
id_1859,id_3336
id_1861,id_2056
id_1841,id_3390
id_555,id_6649
id_551,id_6142
id_3177,id_3928
id_1679,id_4549
id_2193,id_2943
id_447,id_6676
id_1545,id_3640
id_1841,id_3002
id_4526,id_4891
id_5590,id_5719
id_3196,id_3983
id_2170,id_2537
id_3002,id_6619
id_3002,id_6077
id_3002,id_6612
id_3476,id_4891
id_5473,id_5570
id_2091,id_6677
id_199,id_2091
id_3597,id_6501
id_1679,id_6664
id_1679,id_6619
id_242,id_1337
id_5372,id_5590
id_1522,id_2063
id_407,id_3694
id_4718,id_6619
id_475,id_3640
id_475,id_3516
id_4734,id_6423
id_4734,id_6560
id_4734,id_6389
id_4717,id_6023
id_427,id_453
id_3010,id_4891
id_2056,id_2537
id_3007,id_4717
id_809,id_1410
id_776,id_1160
id_5318,id_5610
id_286,id_1301
id_286,id_1300
id_3390,id_4041
id_4689,id_6489
id_3371,id_3800
id_3566,id_6572
id_3568,id_6219
id_728,id_5016
id_886,id_1311
id_881,id_1204
id_861,id_1484
id_2033,id_6188
id_2033,id_6504
id_4549,id_4718
id_4586,id_4891
id_6582,id_6676
id_3203,id_6608
id_4670,id_6392
id_3452,id_4139
id_418,id_6414
id_2023,id_2393
id_4939,id_6185
id_4945,id_6095
id_3584,id_4851
id_167,id_1168
id_1950,id_6297
id_1951,id_1998
id_728,id_6304
id_3196,id_6527
id_5290,id_5971
id_5248,id_5488
id_5245,id_5647
id_3516,id_6619
id_352,id_2169
id_670,id_6077
id_1555,id_6297
id_237,id_3316
id_4666,id_6392
id_3480,id_4033
id_3470,id_3959
id_3470,id_4018
id_342,id_1687
id_334,id_1998
id_334,id_1679
id_1749,id_6648
id_955,id_1410
id_5202,id_6606
id_945,id_1259
id_5207,id_6619
id_5207,id_6301
id_3640,id_3851
id_3608,id_4217
id_230,id_3640
id_3566,id_4066
id_3562,id_4401
id_177,id_3405
id_747,id_6392
id_1951,id_6554
id_177,id_5060
id_1753,id_6023
id_5182,id_5817
id_3390,id_4549
id_5082,id_5916
id_445,id_1951
id_3640,id_4922
id_1026,id_1145
id_716,id_4891
id_151,id_3002
id_3705,id_4230
id_343,id_6360
id_3259,id_6013
id_5060,id_5286
id_1919,id_3538
id_5052,id_5384
id_5002,id_5497
id_483,id_1511
id_1984,id_3067
id_4992,id_5256
id_1799,id_2716
id_1829,id_4891
id_3701,id_4115
id_5190,id_6415
id_3640,id_4586
id_3433,id_6111
id_562,id_1574
id_549,id_2068
id_3450,id_6382
id_3289,id_6582
id_3289,id_6676
id_68,id_3628
id_1570,id_6075
id_1841,id_6619
id_334,id_6075
id_537,id_2183
id_534,id_1581
id_2097,id_6504
id_521,id_5203
id_663,id_5245
id_594,id_4803
id_150,id_1300
id_1511,id_2472
id_5149,id_6665
id_4041,id_4318
id_230,id_4891
id_1765,id_2502
id_327,id_4891
id_3462,id_4803
id_3177,id_4803
id_1704,id_2574
id_3177,id_4757
id_4219,id_4251
id_4133,id_4492
id_4126,id_4395
id_3233,id_5082
id_620,id_1543
id_3433,id_6112
id_200,id_1137
id_4891,id_5850
id_4891,id_5927
id_4891,id_5698
id_3452,id_5182
id_4332,id_4364
id_53,id_894
id_3308,id_6662
id_25,id_3161
id_18,id_3638
id_4526,id_5318
id_1841,id_4549
id_5082,id_6668
id_1680,id_2411
id_407,id_4666
id_743,id_1841
id_475,id_4891
id_1544,id_2948
id_1899,id_4891
id_567,id_5234
id_3348,id_6619
id_3425,id_4628
id_4564,id_6579
id_4564,id_6025
id_4573,id_5391
id_55,id_1150
id_2110,id_3007
id_2247,id_6254
id_2247,id_6142
id_2063,id_3123
id_4516,id_6018
id_3433,id_5248
id_3353,id_6475
id_1630,id_2774
id_1630,id_2311
id_1630,id_2834
id_5108,id_6512
id_327,id_1126
id_502,id_4689
id_483,id_5002
id_465,id_4516
id_3618,id_4850
id_3390,id_6077
id_4549,id_6077
id_4549,id_6619
id_1799,id_6185
id_2140,id_3078
id_2131,id_3007
id_2110,id_6023
id_5113,id_6023
id_2167,id_6014
id_1585,id_2327
id_1998,id_6392
id_2170,id_4717
id_1679,id_3516
id_3712,id_6558
id_418,id_991
id_3316,id_4732
id_1687,id_3562
id_2063,id_6579
id_2063,id_6023
id_447,id_1498
id_2235,id_4634
id_115,id_563
id_30,id_6218
id_31,id_6221
id_6058,id_6142
id_407,id_1311
id_6102,id_6414
id_439,id_1098
id_2665,id_2804
id_2411,id_2820
id_6088,id_6392
id_174,id_502
id_3433,id_3579
id_3420,id_3640
id_3068,id_3603
id_6185,id_6649
id_3684,id_6185
id_27,id_1677
id_25,id_199
id_25,id_1677
id_531,id_1297
id_537,id_1273
id_14,id_27
id_5089,id_6351
id_5108,id_6417
id_151,id_950
id_439,id_4974
id_3396,id_6330
id_3620,id_4808
id_230,id_327
id_1570,id_1879
id_5130,id_6485
id_5134,id_6357
id_502,id_4819
id_4718,id_5207
id_252,id_489
id_252,id_1389
id_3420,id_4891
id_4564,id_6023
id_703,id_740
id_2091,id_3452
id_1511,id_1773
id_1502,id_1704
id_4803,id_5509
id_1773,id_1951
id_1773,id_6668
id_1799,id_6649
id_1842,id_2141
id_1677,id_2774
id_1669,id_2894
id_5082,id_6392
id_1680,id_2820
id_1769,id_6134
id_6392,id_6668
id_716,id_1899
id_716,id_743
id_1894,id_5245
id_1894,id_5130
id_558,id_5007
id_703,id_2097
id_3348,id_6301
id_3010,id_3640
id_4066,id_4219
id_4939,id_5524
id_4939,id_4974
id_3420,id_6142
id_3433,id_6673
id_6664,id_6668
id_3106,id_3694
id_3327,id_6322
id_558,id_1502
id_149,id_150
id_534,id_5242
id_3002,id_4549
id_5030,id_6392
id_287,id_5159
id_5052,id_6512
id_5052,id_6417
id_1859,id_4840
id_286,id_5160
id_158,id_515
id_252,id_4887
id_3783,id_4219
id_3279,id_6023
id_1451,id_1488
id_1300,id_1301
id_1273,id_1404
id_5159,id_5160
id_1098,id_1423
id_1098,id_1243
id_1098,id_1433
id_5191,id_6485
id_4992,id_5155
id_1841,id_2948
id_3698,id_4425
id_1951,id_3538
id_5030,id_5916
id_469,id_1566
id_1998,id_3490
id_286,id_4693
id_5130,id_5704
id_5113,id_5872
id_3480,id_6489
id_3640,id_4526
id_3652,id_4519
id_1922,id_4771
id_728,id_4743
id_703,id_4865
id_151,id_3390
id_1879,id_2489
id_6023,id_6574
id_743,id_6254
id_740,id_6504
id_1951,id_6664
id_1951,id_6668
id_4974,id_6649
id_199,id_5182
id_174,id_4689
id_5191,id_5970
id_3490,id_6392
id_1511,id_3237
id_1555,id_6527
id_3480,id_4401
id_949,id_1451
id_743,id_5018
id_3161,id_3452
id_3640,id_4417
id_3630,id_3849
id_3608,id_4404
id_199,id_3161
id_189,id_3574
id_1861,id_6023
id_1998,id_2489
id_3576,id_5237
id_327,id_3640
id_252,id_1765
id_5267,id_5797
id_5245,id_5704
id_334,id_1773
id_334,id_1919
id_1542,id_3640
id_364,id_2189
id_3516,id_6077
id_3516,id_6301
id_3131,id_5229
id_381,id_3131
id_896,id_1451
id_5245,id_6266
id_4672,id_6428
id_3420,id_4288
id_2023,id_2274
id_2095,id_2967
id_1741,id_5084
id_1998,id_5082
id_1998,id_5030
id_1983,id_4717
